Image;SquareIndex;ObjectInSquare;Area_px;Area_mm2;Scale;X;Y
P1012169.JPG;6;1;4773;25.0628;0.07246;733.2901;606.4087
P1012169.JPG;5;1;2677;14.0568;0.07246;642.4989;567.6016
P1012169.JPG;4;1;3718;19.523;0.07246;583.6837;876.9521
P1012170.JPG;1;1;2465;12.9436;0.07246;721.3523;736.8988
P1012170.JPG;2;1;1707;8.9634;0.07246;566.6054;715.9165
P1012170.JPG;3;1;3444;18.0843;0.07246;730.6998;677.9805
P1012170.JPG;6;1;3342;17.5487;0.07246;727.9318;758.0826
P1012170.JPG;5;1;2924;15.3538;0.07246;685.0817;623.0964
P1012170.JPG;4;1;3623;19.0242;0.07246;662.0702;710.6858
P1012171.JPG;1;1;4717;24.7687;0.07246;624.4197;866.6662
P1012171.JPG;3;1;5684;29.8464;0.07246;500.7164;776.0359
P1012171.JPG;6;1;5998;31.4952;0.07246;811.2427;524.7763
P1012171.JPG;5;1;5417;28.4444;0.07246;574.3638;907.6532
P1012171.JPG;4;1;4390;23.0517;0.07246;813.4708;784.9123
P1012171.JPG;2;1;5524;29.00349464;0.07246;642.381;780.347
P1012172.JPG;1;1;5628;29.5524;0.07246;487.5595;575.5697
P1012172.JPG;2;1;3158;16.5825;0.07246;390.6235;427.9649
P1012172.JPG;3;1;1398;7.3408;0.07246;854.8398;777.1116
P1012172.JPG;6;1;3520;18.4834;0.07246;990.8804;570.1469
P1012172.JPG;5;1;4582;24.0599;0.07246;826.9823;633.2855
P1012172.JPG;4;1;4742;24.9;0.07246;805.6852;760.5487
P1012173.JPG;1;1;6724;35.3074;0.07246;759.2866;580.0703
P1012173.JPG;2;1;6419;33.7059;0.07246;847.5914;786.982
P1012173.JPG;3;1;4497;23.6135;0.07246;735.2076;767.2465
P1012173.JPG;6;1;5569;29.2426;0.07246;688.9784;750.3655
P1012173.JPG;5;1;6892;36.1896;0.07246;640.8254;738.9111
P1012173.JPG;4;1;5940;31.1907;0.07246;667.2971;644.9906
P1012174.JPG;1;1;1106;5.8076;0.07246;770.8562;879.0796
P1012174.JPG;2;1;1569;8.2387;0.07246;766.5497;739.2387
P1012174.JPG;3;1;3292;17.2861;0.07246;592.0437;669.5398
P1012174.JPG;4;1;2012;10.5649;0.07246;753.6864;756.4051
P1012175.JPG;1;1;2206;11.5836;0.07246;801.3518;720.9773
P1012175.JPG;2;1;1860;9.7668;0.07246;746.0161;815.3113
P1012175.JPG;3;1;2122;11.1425;0.07246;532.2234;524.1602
P1012175.JPG;4;1;2927;15.3695;0.07246;642.2574;824.1573
P1012178.JPG;1;1;5546;29.3769;0.07278;746.0487;790.4214
P1012178.JPG;2;1;2856;15.1281;0.07278;703.5228;748.1936
P1012178.JPG;3;1;2431;12.8769;0.07278;628.5633;558.7505
P1012178.JPG;4;1;2971;15.7372;0.07278;473.4438;721.3273
P1012178.JPG;5;1;2554;13.5284;0.07278;650.0439;698.6347
P1012179.JPG;1;1;5969;31.6175;0.07278;773.2474;765.6504
P1012179.JPG;2;1;8163;43.239;0.07278;726.8316;801.1744
P1012179.JPG;3;1;6772;35.8709;0.07278;663.6593;574.4417
P1012179.JPG;6;1;2092;11.0812;0.07278;698.9379;627.7921
P1012179.JPG;5;1;6644;35.1929;0.07278;582.907;724.1486
P1012179.JPG;4;1;3680;19.4928;0.07278;717.9443;606.0193
P1012180.JPG;1;1;7281;38.5671;0.07278;1001.9013;761.5199
P1012180.JPG;2;1;6671;35.3359;0.07278;723.5294;619.7896
P1012180.JPG;3;1;6906;36.5807;0.07278;1074.8989;703.7841
P1012180.JPG;5;1;5426;28.7412;0.07278;708.2274;639.8175
P1012180.JPG;6;1;5745;30.431;0.07278;585.3082;659.6201
P1012180.JPG;4;1;7113;37.6772;0.07278;814.1506;814.2519
P1012181.JPG;1;1;6724;35.6167;0.07278;950.916;527.0672
P1012181.JPG;2;1;7311;38.726;0.07278;769.6438;844.256
P1012181.JPG;3;1;7606;40.2886;0.07278;832.0719;712.1075
P1012181.JPG;5;1;8510;45.077;0.07278;749.4508;585.8204
P1012181.JPG;6;1;7819;41.4168;0.07278;676.1347;903.241
P1012181.JPG;4;1;6661;35.283;0.07278;785.498;803.9857
P1012182.JPG;2;1;5640;29.8748;0.07278;401.6574;453.0456
P1012182.JPG;1;1;3529;18.6929;0.07278;613.8205;1075.8168
P1012182.JPG;3;1;5529;29.2868;0.07278;496.2292;732.8914
P1012182.JPG;6;1;6228;32.9894;0.07278;700.7612;583.6423
P1012182.JPG;5;1;4169;22.083;0.07278;681.3793;891.8795
P1012182.JPG;4;1;4781;25.3247;0.07278;780.769;553.5134
P1012183.JPG;1;1;1776;9.4074;0.07278;467.3181;660.1959
P1012183.JPG;2;1;4990;26.4318;0.07278;791.6848;653.1806
P1012184.JPG;1;1;5935;31.4374;0.07278;580.8372;680.3765
P1012184.JPG;2;1;6047;32.0306;0.07278;660.6239;406.688
P1012184.JPG;3;1;5841;30.9395;0.07278;618.1672;844.5197
P1012184.JPG;4;1;6370;33.7416;0.07278;546.0892;585.7455
P1012185.JPG;2;1;2605;13.7985;0.07278;640.4923;675.7038
P1012185.JPG;1;1;7022;37.1952;0.07278;642.6433;608.9792
P1012185.JPG;3;1;2074;10.9859;0.07278;717.0169;684.8423
P1012185.JPG;6;1;2297;12.1671;0.07278;412.0303;679.9745
P1012185.JPG;5;1;2096;11.1024;0.07278;588.719;707.2562
